index,values
0,6
1,-112
2,65
3,158
4,-60
5,-80
6,-103
7,-72
8,-65
9,-67
10,-8
11,121
12,-146
13,-69
14,-76
15,86
16,-153
17,155
18,114
19,-63
20,99
21,-152
22,152
23,20
24,-76
25,74
26,160
27,-127
28,38
29,-152
30,5
31,-97
32,36
33,-60
34,-99
35,24
36,-146
37,139
38,-118
39,145
40,68
41,129
42,48
43,155
44,-8
45,-19
46,58
47,27
48,-135
49,130
50,31
51,-61
52,82
53,59
54,-70
55,8
56,75
57,95
58,-50
59,-4
60,102
61,-114
62,133
63,155
64,118
65,12
66,58
67,98
68,102
69,80
70,111
71,22
72,-4
73,-114
74,-38
75,44
76,-13
77,-157
78,119
79,42
80,82
81,-136
82,144
83,65
84,-128
85,-36
86,122
87,-76
88,28
89,-150
90,17
91,-157
92,109
93,59
94,139
95,70
96,-79
97,-101
98,110
99,-29
100,-111
101,-138
102,-118
103,-71
104,144
105,16
106,46
107,50
108,-52
109,-83
110,-52
111,-24
112,67
113,57
114,-60
115,-126
116,91
117,-97
118,-64
119,150
120,66
121,12
122,1
123,94
124,142
125,109
126,-9
127,4
128,21
129,33
130,12
131,-79
132,-28
133,-63
134,-72
135,53
136,10
137,-152
138,158
139,-138
140,-30
141,-26
142,122
143,54
144,102
145,-116
146,-136
147,127
148,33
149,80
150,-149
151,-58
152,72
153,-118
154,-11
155,-61
156,-114
157,-133
158,-72
159,-135
160,20
161,116
162,-27
163,-66
164,-7
165,-92
166,-122
167,17
168,-12
169,-38
170,-124
171,67
172,130
173,-65
174,113
175,111
176,-11
177,-89
178,-152
179,91
180,-41
181,-41
182,-145
183,117
184,26
185,89
186,42
187,97
188,-134
189,131
190,-49
191,18
192,-105
193,-5
194,-57
195,136
196,-55
197,115
198,1
199,-121
200,-67
201,-27
202,73
203,79
204,149
205,-74
206,61
207,158
208,12
209,146
210,-27
211,145
212,45
213,94
214,53
215,-64
216,73
217,153
218,-7
219,-10
220,-136
221,153
222,-99
223,-61
224,-94
225,57
226,-94
227,68
228,-117
229,-103
230,-12
231,1
232,-99
233,102
234,-23
235,146
236,155
237,1
238,140
239,82
240,113
241,115
242,-49
243,-124
244,-33
245,-79
246,46
247,160
248,-104
249,128
250,-30
251,-32
252,113
253,-41
254,15
255,-20
256,150
257,-9
258,-49
259,85
260,-2
261,100
262,-94
263,40
264,42
265,87
266,-45
267,22
268,58
269,15
270,139
271,-58
272,0
273,160
274,24
275,67
276,-125
277,-116
278,160
279,-41
280,-69
281,-51
282,27
283,-146
284,75
285,-101
286,81
287,4
288,150
289,20
290,-150
291,-126
292,-19
293,159
294,106
295,-65
296,-35
297,29
298,-80
299,-2
300,-54
301,145
302,-112
303,-157
304,47
305,-156
306,70
307,-147
308,-144
309,-137
310,-52
311,-94
312,95
313,115
314,-68
315,-27
316,75
317,-48
318,-144
319,-157
320,-9
321,-43
322,149
323,-119
324,-115
325,-66
326,58
327,-19
328,-52
329,4
330,-28
331,-87
332,95
333,39
334,-130
335,12
336,-92
337,-157
338,79
339,-60
340,112
341,119
342,18
343,59
344,159
345,38
346,124
347,98
348,-8
349,127
350,-29
351,-39
352,-68
353,-90
354,-39
355,-10
356,149
357,4
358,25
359,-117
360,130
361,24
362,-18
363,-138
364,-32
365,38
366,-124
367,-138
368,130
369,133
370,-87
371,-44
372,-101
373,5
374,19
375,121
376,6
377,-76
378,-16
379,138
380,-159
381,118
382,-18
383,54
384,-105
385,-135
386,49
387,-65
388,-109
389,-99
390,102
391,157
392,-76
393,-18
394,85
395,33
396,14
397,-65
398,-76
399,3
400,101
401,110
402,-65
403,-125
404,122
405,69
406,-103
407,-148
408,51
409,-60
410,-43
411,63
412,114
413,18
414,-10
415,-16
416,-134
417,18
418,-10
419,-66
420,152
421,-154
422,-19
423,-86
424,-23
425,-57
426,97
427,83
428,63
429,68
430,39
431,-75
432,12
433,-152
434,-146
435,-4
436,2
437,116
438,100
439,80
440,-138
441,-91
442,-20
443,-62
444,118
445,-76
446,-2
447,15
448,-57
449,109
450,63
451,80
452,-4
453,83
454,-98
455,134
456,-118
457,-119
458,-73
459,24
460,94
461,-6
462,-10
463,77
464,-88
465,15
466,78
467,-22
468,128
469,-1
470,7
471,71
472,37
473,11
474,66
475,136
476,124
477,154
478,95
479,-159
480,76
481,79
482,-100
483,114
484,7
485,-140
486,102
487,-66
488,37
489,107
490,-16
491,-104
492,-87
493,6
494,11
495,-125
496,-23
497,118
498,-62
499,-136
500,105
501,155
502,133
503,-5
504,128
505,-29
506,-85
507,-52
508,125
509,-32
510,-118
511,82
512,-114
513,54
514,85
515,-159
516,-107
517,159
518,-26
519,130
520,28
521,-103
522,51
523,0
524,-150
525,3
526,123
527,-20
528,90
529,-113
530,-48
531,-32
532,-41
533,140
534,114
535,78
536,-53
537,-96
538,-13
539,-56
540,40
541,-107
542,-65
543,5
544,159
545,77
546,-93
547,-144
548,47
549,16
550,46
551,2
552,113
553,95
554,-46
555,129
556,-80
557,146
558,-12
559,-65
560,84
561,-142
562,35
563,-121
564,-62
565,-137
566,-56
567,132
568,48
569,-3
570,68
571,-77
572,-58
573,-125
574,39
575,-159
576,138
577,-117
578,5
579,144
580,154
581,-99
582,-152
583,22
584,-33
585,74
586,57
587,-151
588,120
589,45
590,-83
591,13
592,83
593,14
594,60
595,107
596,-123
597,26
598,29
599,-2
