index,values
0,-80
1,35
2,-143
3,-21
4,49
5,-44
6,28
7,51
8,-87
9,-56
10,145
11,-47
12,82
13,74
14,16
15,-77
16,-86
17,94
18,-43
19,48
20,-157
21,55
22,113
23,115
24,41
25,-9
26,-130
27,-10
28,95
29,-100
30,-68
31,79
32,20
33,57
34,-133
35,-68
36,-4
37,51
38,26
39,93
40,69
41,-10
42,61
43,134
44,-96
45,-14
46,-46
47,45
48,-124
49,28
50,-40
51,99
52,147
53,-100
54,25
55,-40
56,-78
57,7
58,58
59,-76
60,-20
61,-69
62,-153
63,76
64,-34
65,9
66,-21
67,127
68,-46
69,1
70,-71
71,-33
72,-31
73,127
74,-66
75,-12
76,-44
77,-36
78,43
79,-65
80,68
81,27
82,113
83,-87
84,-150
85,65
86,-96
87,-117
88,15
89,-120
90,77
91,-12
92,2
93,-74
94,13
95,-139
96,-93
97,-141
98,-111
99,77
100,60
101,95
102,152
103,48
104,120
105,-43
106,-46
107,-55
108,-72
109,-60
110,158
111,113
112,-43
113,-84
114,9
115,-2
116,18
117,-146
118,-13
119,-91
120,-38
121,-64
122,-149
123,98
124,110
125,-110
126,37
127,-158
128,-59
129,-103
130,-140
131,61
132,139
133,-46
134,13
135,-47
136,13
137,22
138,-33
139,-47
140,-49
141,-77
142,-113
143,112
144,-92
145,-106
146,-29
147,46
148,42
149,92
150,-143
151,-128
152,-148
153,-48
154,124
155,103
156,6
157,-149
158,43
159,-21
160,153
161,20
162,-80
163,-133
164,-110
165,27
166,-20
167,133
168,114
169,-59
170,78
171,-23
172,-44
173,159
174,54
175,-31
176,-99
177,72
178,54
179,-137
180,-100
181,55
182,9
183,111
184,-76
185,36
186,157
187,-128
188,-90
189,-17
190,42
191,-11
192,-5
193,122
194,155
195,-156
196,-145
197,-89
198,110
199,-24
200,155
201,120
202,14
203,37
204,-18
205,135
206,-44
207,-72
208,-12
209,-17
210,92
211,-146
212,-100
213,121
214,-31
215,-40
216,20
217,113
218,52
219,-18
220,-117
221,129
222,119
223,42
224,-72
225,53
226,25
227,29
228,-154
229,85
230,74
231,-91
232,98
233,-55
234,-32
235,88
236,155
237,156
238,-58
239,107
240,-115
241,-129
242,30
243,-3
244,-150
245,92
246,-95
247,157
248,-146
249,-80
250,17
251,-157
252,111
253,-128
254,-59
255,-26
256,-75
257,66
258,105
259,68
260,-51
261,159
262,-142
263,28
264,88
265,-137
266,29
267,123
268,-79
269,-14
270,40
271,22
272,-19
273,-27
274,-40
275,130
276,109
277,6
278,-60
279,-7
280,-4
281,105
282,-71
283,107
284,-78
285,143
286,-68
287,-58
288,1
289,-76
290,-70
291,23
292,-39
293,58
294,36
295,157
296,136
297,108
298,-109
299,-111
