index,values
0,40
1,100
2,30
3,-140
4,-21
5,128
6,92
7,-129
8,0
9,159
10,-91
11,138
12,-95
13,-56
14,-136
15,-146
16,-51
17,50
18,86
19,-32
20,-157
21,-69
22,-77
23,-22
24,-98
25,-70
26,117
27,143
28,-106
29,2
30,72
31,59
32,4
33,-84
34,52
35,62
36,129
37,-11
38,49
39,-110
40,47
41,-57
42,-123
43,-137
44,-123
45,87
46,-47
47,-111
48,113
49,80
50,-100
51,-112
52,-64
53,-14
54,-86
55,54
56,142
57,-57
58,-160
59,-155
60,142
61,-31
62,87
63,49
64,-55
65,-98
66,-152
67,33
68,78
69,152
70,48
71,-47
72,156
73,-122
74,117
75,129
76,-83
77,4
78,-110
79,71
80,59
81,-70
82,-57
83,-32
84,-47
85,37
86,-35
87,-125
88,149
89,32
90,-99
91,97
92,26
93,-149
94,117
95,140
96,-72
97,148
98,134
99,19
