index,values,weights
0,149,112
1,-115,100
2,89,122
3,-160,49
4,75,13
5,7,101
6,-51,112
7,155,151
8,73,62
9,-150,8
10,98,46
11,-80,42
12,15,2
13,-45,145
14,-47,120
15,146,91
16,-25,128
17,-77,7
18,38,71
19,-35,53
20,50,128
21,89,96
22,-29,73
23,5,72
24,81,1
25,105,160
26,-131,11
27,-159,113
28,105,145
29,-110,79
30,-50,129
31,117,64
32,-43,21
33,90,127
34,46,13
35,56,157
36,30,52
37,-89,67
38,10,75
39,118,32
40,-86,6
41,47,142
42,-92,121
43,-67,139
44,89,157
45,2,154
46,-25,142
47,62,57
48,-154,4
49,-60,88
50,62,107
51,-57,86
52,0,46
53,38,87
54,-86,47
55,124,35
56,-126,133
57,84,3
58,79,31
59,-58,96
60,-96,156
61,2,55
62,-154,22
63,42,91
64,-136,114
65,159,108
66,27,158
67,-18,61
68,-13,101
69,-35,135
70,-158,59
71,106,1
72,-108,13
73,-3,87
74,31,69
75,-159,42
76,-97,38
77,50,132
78,7,39
79,-65,6
80,-23,89
81,87,155
82,156,96
83,-40,75
84,-66,63
85,4,112
86,-27,83
87,90,23
88,160,135
89,-26,22
90,109,102
91,94,10
92,-117,134
93,-129,74
94,8,127
95,-7,95
96,-8,13
97,-4,1
98,-106,45
99,-157,106
100,-11,47
101,-101,96
102,-32,57
103,135,39
104,19,112
105,-88,151
106,-137,57
107,21,142
108,106,36
109,-130,79
110,-26,93
111,146,36
112,156,14
113,-74,104
114,18,126
115,-32,157
116,-156,111
117,37,2
118,-103,156
119,-140,16
120,93,74
121,2,87
122,-71,97
123,-59,73
124,155,59
125,-64,141
126,95,43
127,-80,50
128,56,8
129,-44,91
130,44,11
131,96,27
132,-119,95
133,146,16
134,-48,105
135,123,86
136,32,93
137,-89,155
138,18,114
139,-141,50
140,136,45
141,99,147
142,-3,153
143,-45,65
144,102,8
145,-19,65
146,-28,15
147,-39,26
148,-94,133
149,121,135
150,-54,143
151,120,3
152,-158,25
153,60,143
154,-68,108
155,156,75
156,-27,115
157,-47,31
158,95,7
159,115,40
160,-31,142
161,15,145
162,-40,125
163,74,65
164,13,52
165,-34,143
166,110,77
167,-61,71
168,8,60
169,140,56
170,146,74
171,-119,50
172,148,72
173,46,61
174,120,153
175,-46,122
176,-134,146
177,45,54
178,39,70
179,-141,145
180,154,63
181,-50,108
182,-152,11
183,70,5
184,-96,142
185,-61,143
186,-104,14
187,79,81
188,-4,151
189,-135,39
190,145,141
191,65,25
192,-17,137
193,-141,41
194,-10,134
195,124,153
196,-60,33
197,-69,9
198,13,136
199,-155,9
200,30,39
201,85,82
202,65,25
203,135,11
204,71,60
205,-17,18
206,0,76
207,28,65
208,-47,64
209,-23,69
210,8,75
211,-160,54
212,132,24
213,69,135
214,136,116
215,-13,75
216,124,109
217,-118,11
218,-32,147
219,-132,133
220,148,21
221,-68,125
222,19,134
223,77,92
224,138,108
225,-46,18
226,124,121
227,-10,91
228,102,92
229,-18,133
230,129,149
231,65,4
232,-58,147
233,-23,18
234,-145,21
235,48,17
236,-52,67
237,-6,137
238,20,94
239,-37,31
240,-58,6
241,-25,101
242,133,155
243,132,138
244,158,26
245,125,79
246,53,79
247,-159,71
248,-92,57
249,-137,117
250,-92,37
251,-56,142
252,26,93
253,148,48
254,27,53
255,83,55
256,75,118
257,6,3
258,48,29
259,-51,67
260,-57,126
261,-69,10
262,8,104
263,54,103
264,96,151
265,-27,26
266,120,125
267,-120,158
268,-105,106
269,91,24
270,-41,22
271,-104,48
272,-141,124
273,-99,70
274,-111,88
275,-145,25
276,128,119
277,-6,38
278,157,149
279,50,8
280,-149,87
281,-54,77
282,-155,103
283,113,71
284,-118,54
285,-77,61
286,89,45
287,94,106
288,-108,142
289,-40,96
290,50,77
291,-142,11
292,-142,120
293,73,6
294,156,122
295,139,103
296,-156,102
297,137,117
298,30,65
299,73,81
300,-24,49
301,-93,15
302,-27,22
303,-125,25
304,-157,112
305,76,137
306,-123,115
307,100,107
308,-51,74
309,-137,22
310,48,121
311,-116,5
312,-26,142
313,107,36
314,-37,51
315,-66,86
316,117,143
317,-53,12
318,-118,81
319,6,121
320,67,50
321,159,53
322,6,128
323,-105,2
324,-104,157
325,15,70
326,-2,77
327,-140,105
328,19,139
329,52,39
330,136,137
331,-128,28
332,-21,9
333,7,115
334,8,22
335,48,79
336,46,2
337,-29,90
338,12,45
339,-10,69
340,-59,160
341,55,104
342,18,92
343,-71,19
344,130,144
345,-67,56
346,68,105
347,-140,147
348,32,60
349,-120,103
350,6,147
351,75,105
352,108,9
353,129,2
354,17,156
355,-128,157
356,-129,132
357,12,79
358,138,61
359,141,63
360,45,52
361,-35,44
362,-60,26
363,131,142
364,96,49
365,-117,143
366,-31,124
367,-92,143
368,-86,69
369,-40,99
370,154,145
371,67,3
372,1,124
373,-135,85
374,-97,23
375,-143,87
376,90,157
377,-83,105
378,54,110
379,-14,5
380,-100,102
381,-40,119
382,129,116
383,-35,114
384,156,17
385,64,7
386,135,95
387,122,41
388,-64,159
389,111,152
390,-98,6
391,41,63
392,13,134
393,20,115
394,-138,33
395,-33,139
396,-34,113
397,95,2
398,87,81
399,124,61
400,120,81
401,-153,135
402,10,106
403,8,85
404,-124,142
405,-109,25
406,89,5
407,154,78
408,-62,48
409,105,9
410,49,122
411,28,87
412,-156,33
413,-145,6
414,159,149
415,64,100
416,71,78
417,98,14
418,105,27
419,154,75
420,-82,90
421,-75,4
422,16,127
423,-20,13
424,121,85
425,-77,119
426,-17,20
427,99,53
428,151,142
429,-152,79
430,82,38
431,9,125
432,5,41
433,-41,70
434,59,60
435,-92,91
436,-103,65
437,-137,73
438,20,74
439,41,36
440,-29,129
441,121,93
442,132,145
443,5,47
444,-82,30
445,-131,139
446,34,16
447,52,123
448,115,109
449,-102,142
450,-30,124
451,-119,141
452,10,131
453,38,91
454,-93,121
455,-95,44
456,72,69
457,-72,21
458,21,117
459,-64,139
460,135,9
461,65,93
462,-128,19
463,89,22
464,-59,91
465,-48,94
466,-18,104
467,149,154
468,57,106
469,-139,100
470,-99,99
471,-27,72
472,-12,62
473,55,45
474,38,154
475,6,25
476,74,56
477,47,55
478,127,85
479,48,80
480,151,60
481,159,48
482,27,14
483,-150,147
484,27,24
485,-25,68
486,-1,94
487,-44,67
488,93,122
489,-80,132
490,35,152
491,-154,51
492,29,114
493,-18,75
494,62,87
495,155,74
496,103,17
497,114,144
498,-50,85
499,130,96
500,22,32
501,64,160
502,-100,17
503,-91,39
504,152,107
505,-22,87
506,9,111
507,-127,133
508,80,102
509,49,61
510,76,127
511,-149,54
512,-143,129
513,-34,132
514,-59,160
515,51,12
516,-65,130
517,-4,56
518,150,148
519,-43,94
520,-14,73
521,22,53
522,125,108
523,-34,29
524,97,47
525,-134,86
526,-37,119
527,-120,47
528,79,136
529,124,53
530,109,24
531,-5,110
532,-53,66
533,158,101
534,61,89
535,105,7
536,-26,151
537,30,155
538,53,130
539,-78,143
540,116,138
541,13,95
542,-88,2
543,-141,32
544,11,39
545,117,109
546,97,136
547,-139,22
548,34,78
549,110,133
550,150,36
551,-29,156
552,51,145
553,-57,116
554,141,126
555,128,87
556,-66,154
557,-108,98
558,141,129
559,-149,119
560,10,105
561,135,10
562,-127,142
563,-63,69
564,-79,24
565,-39,28
566,25,71
567,-44,18
568,-63,128
569,33,111
570,-12,63
571,-130,100
572,86,77
573,-124,88
574,-138,139
575,-45,102
576,-130,49
577,37,95
578,5,73
579,-108,78
580,-46,81
581,65,98
582,38,83
583,-139,76
584,-29,113
585,149,95
586,-141,10
587,-45,92
588,-44,137
589,159,123
590,-68,146
591,-39,102
592,-159,111
593,-124,143
594,69,128
595,-103,47
596,-73,123
597,-15,41
598,-16,12
599,89,34
